(FM-C) N049.31.05.999 E008.26.42.000 ; ED
(FM-N) N049.31.54.000 E008.32.53.999 ; ED
01AGD N050.58.18.390 E012.29.32.629 ; ED
01BBE N050.46.14.188 E004.47.00.790 ; EB
01BBL N051.10.42.409 E005.29.02.659 ; EB
01BVT N049.27.55.209 E002.05.14.071 ; LF
01DLN N052.04.23.300 E005.52.50.430 ; EH
01DMN N048.22.00.429 E011.49.10.880 ; ED
01DMS N048.20.40.891 E011.48.11.278 ; ED
01GZR N051.33.48.610 E004.57.35.960 ; EH
01NAY N048.34.03.028 E005.56.44.480 ; LF
01OEV N047.15.50.630 E011.22.37.920 ; LO
01VKL N051.39.50.421 E005.43.48.640 ; EH
01WUN N052.27.32.968 E009.27.20.530 ; ED
02BBE N050.46.49.440 E004.48.21.189 ; EB
02DLN N052.01.31.389 E005.51.25.200 ; EH
02IGL N048.43.47.888 E011.37.00.040 ; ED
02RMS N049.26.17.750 E007.32.02.641 ; ED
03BBE N050.47.47.410 E004.49.00.001 ; EB
03PB  N048.47.48.930 E007.16.23.091 ; LF
03PK  N050.00.56.458 E015.40.28.441 ; LK
03VKL N051.40.52.078 E005.46.33.920 ; EH
04AGD N050.55.56.629 E012.26.29.799 ; ED
04ALD N047.58.59.721 E010.13.31.828 ; ED
04ANT N051.11.38.108 E004.34.42.279 ; EB
04AVD N047.05.10.381 E002.43.05.818 ; LF
04DLN N052.07.15.189 E005.54.15.839 ; EH
04FMD N048.07.15.988 E016.31.57.669 ; LO
04GIX N050.57.38.019 E005.56.23.499 ; ED
04IGL N048.41.34.979 E011.28.34.950 ; ED
04PK  N050.00.35.449 E015.51.18.518 ; LK
05DUS N051.16.40.378 E006.44.31.858 ; ED
05ICF N047.07.59.728 E006.53.44.458 ; LS
05KLO N047.22.58.778 E008.36.14.698 ; LS
05MLN N048.27.00.000 E002.49.20.258 ; LF
05MLY N048.55.26.961 E006.10.49.000 ; LF
05NEU N048.42.32.950 E011.05.06.889 ; ED
05PA  N050.06.15.631 E014.14.04.761 ; LK
05PB  N048.48.53.571 E007.18.56.008 ; LF
06ANT N051.11.44.170 E004.37.52.791 ; EB
06AVD N047.00.28.951 E002.30.11.941 ; LF
06BBI N052.20.43.569 E013.28.09.721 ; ED
06DLN N052.09.09.770 E005.55.12.878 ; EH
06DUS N051.16.31.969 E006.44.36.531 ; ED
06GSY N050.24.48.841 E004.17.53.980 ; EB
06GZR N051.33.01.371 E005.05.30.609 ; EH
06HUL N050.50.57.519 E004.38.49.718 ; EB
06MLN N048.26.55.838 E002.49.26.749 ; LF
06VKL N051.42.24.451 E005.50.42.079 ; EH
06WUN N052.28.50.091 E009.35.14.549 ; ED
07BBE N050.44.49.948 E004.45.30.448 ; EB
07BI  N049.26.26.440 E002.08.36.171 ; LF
07BSE N052.20.32.211 E013.27.19.170 ; ED
07BSW N052.21.41.569 E013.32.11.029 ; ED
07BUB N050.51.44.560 E004.21.54.129 ; EB
07FCW N050.02.52.821 E008.35.56.799 ; ED
07KBD N048.52.52.528 E008.10.35.450 ; ED
07STR N048.25.43.780 E007.26.23.150 ; LF
08ABY N049.58.18.598 E002.43.32.199 ; LF
08AGD N050.52.51.988 E012.22.29.978 ; ED
08AVD N046.59.28.780 E002.27.40.269 ; LF
08BUB N050.51.24.800 E004.20.24.698 ; EB
08GIX N050.56.59.150 E006.15.17.820 ; ED
08HAD N052.27.59.288 E009.43.01.109 ; ED
08IMI N051.11.30.170 E002.38.58.599 ; EB
08OEV N047.15.48.049 E011.22.20.708 ; LO
08THR N049.13.06.938 E004.08.28.071 ; LF
09ANT N051.11.02.900 E004.29.39.098 ; EB
09FFM N049.54.48.578 E008.43.08.198 ; ED
09GZR N051.31.55.840 E004.41.58.430 ; EH
09OEV N047.15.49.341 E011.22.29.319 ; LO
10ABY N049.59.04.981 E002.58.12.478 ; LF
10ALD N047.59.40.491 E010.15.16.009 ; ED
10BAY N049.53.00.211 E011.25.54.321 ; ED
10BT  N048.54.30.999 E002.13.13.238 ; LF
10BUB N051.01.40.238 E004.42.40.579 ; EB
10CGN N049.01.52.521 E002.45.09.921 ; LF
10CLM N048.59.53.710 E003.07.46.851 ; LF
10DUS N051.22.54.519 E006.58.15.920 ; ED
10ERF N050.58.36.749 E010.58.25.071 ; ED
10FMD N048.01.19.660 E016.50.40.941 ; LO
10FRD N050.05.44.941 E008.48.20.419 ; ED
10HOZ N051.48.11.059 E013.27.35.679 ; ED
10IEM N047.06.40.499 E008.19.35.529 ; LS
10IGC N050.32.11.220 E004.42.41.709 ; EB
10LCH N048.12.09.399 E010.52.33.538 ; ED
10MCY N049.12.11.001 E005.39.47.091 ; LF
10MLN N048.17.22.318 E002.47.53.069 ; LF
10MLY N049.07.05.588 E006.25.09.728 ; LF
10NAY N048.44.25.461 E006.02.12.188 ; LF
10OEW N048.02.54.290 E016.45.36.640 ; LO
10TNO N048.47.58.729 E002.21.37.040 ; LF
10WUN N052.28.08.288 E009.26.37.770 ; ED
112MA N046.19.09.620 E015.50.42.230 ; LJ
119CF N050.04.30.151 E015.10.22.468 ; LK
11AGD N051.08.59.859 E012.37.00.710 ; ED
11BT  N049.00.15.750 E002.10.49.810 ; LF
11DOL N046.01.54.749 E014.32.01.460 ; LJ
11EHV N051.35.55.629 E005.32.30.670 ; EH
11FHH N049.47.42.100 E007.06.14.500 ; ED
11FMD N048.10.10.570 E016.22.42.189 ; LO
11GIX N050.56.42.910 E006.20.01.269 ; ED
11HOZ N051.40.09.929 E013.26.55.240 ; ED
11KBD N048.47.51.169 E008.05.50.960 ; ED
11LXI N047.53.44.768 E006.08.32.730 ; LF
11MLY N048.50.42.309 E006.05.00.790 ; LF
11MOD N052.04.31.958 E007.24.27.871 ; ED
11NAY N048.36.01.101 E005.57.47.919 ; LF
11NID N051.37.03.608 E006.25.21.691 ; ED
11NUB N049.34.42.891 E010.47.02.580 ; ED
11NVO N050.59.12.209 E006.30.07.369 ; ED
11OBI N048.05.42.511 E011.18.06.760 ; ED
11OEL N048.15.56.329 E014.28.17.039 ; LO
11PAD N051.26.34.339 E008.35.27.661 ; ED
11SAD N049.12.21.290 E006.49.53.659 ; ED
11SAS N052.25.21.090 E010.00.33.638 ; ED
11STR N048.23.06.028 E007.21.51.818 ; LF
11STZ N048.41.12.591 E007.45.00.230 ; LF
11WUN N052.25.49.090 E009.07.57.000 ; ED
11ZWN N049.04.12.849 E007.17.02.230 ; ED
125NM N051.06.49.489 E011.51.21.959 ; ED
128CF N050.04.34.388 E015.08.43.130 ; LK
12BLM N047.38.46.928 E007.12.15.940 ; LF
12EFD N051.04.19.559 E010.40.17.590 ; ED
12FHH N049.48.35.960 E007.01.28.790 ; ED
12GRZ N046.51.20.059 E015.42.08.060 ; LO
12GZR N051.31.14.739 E004.37.17.860 ; EH
12LRD N048.32.32.301 E007.57.49.100 ; ED
12MOD N051.56.33.478 E007.37.10.790 ; ED
12OEV N047.15.29.109 E011.19.27.440 ; LO
12PB  N048.46.50.678 E007.14.05.488 ; LF
12POY N048.32.27.200 E002.17.18.398 ; LF
12STR N048.22.14.728 E007.20.23.740 ; LF
131BU N050.55.55.869 E004.11.46.791 ; EB
132CF N050.02.45.938 E015.05.47.950 ; LK
136NM N051.17.35.239 E012.54.25.549 ; ED
139BU N050.51.43.599 E004.10.40.198 ; EB
13AVD N046.56.28.921 E002.22.40.069 ; LF
13BT  N048.53.20.029 E002.09.02.570 ; LF
13FHH N049.45.27.698 E007.03.55.310 ; ED
13HMM N051.45.27.309 E008.00.22.719 ; ED
13MAH N048.27.17.841 E011.10.17.151 ; ED
13OEW N048.07.52.060 E016.30.28.540 ; LO
13SAS N052.27.55.299 E009.56.50.258 ; ED
13STR N048.38.34.130 E007.19.58.771 ; LF
13VKL N051.45.59.410 E006.00.22.219 ; EH
14ALD N047.58.28.401 E010.12.13.021 ; ED
14BNO N049.09.16.228 E016.39.27.680 ; LK
14BT  N048.44.59.870 E002.30.54.291 ; LF
14CVN N049.04.24.531 E002.00.13.719 ; LF
14HOZ N051.38.34.080 E013.30.59.749 ; ED
14MHD N051.15.00.799 E006.27.50.349 ; ED
14NEU N048.42.37.911 E011.33.47.761 ; ED
14OEZ N048.20.17.710 E016.29.07.328 ; LO
14OKL N049.58.23.070 E014.33.28.479 ; LK
14SAS N052.28.34.978 E009.57.16.430 ; ED
14WCL N051.04.56.798 E016.57.07.898 ; EP
155NM N048.45.17.791 E009.44.47.738 ; ED
155NM N048.56.53.959 E002.31.05.070 ; LF
158MA N050.45.41.788 E005.42.38.991 ; EH
15HAD N052.28.06.009 E009.44.13.941 ; ED
15ISW N046.15.56.941 E006.08.58.851 ; LS
15KBD N048.45.41.360 E008.03.48.571 ; ED
15MHD N051.05.51.010 E006.09.37.238 ; ED
15OKL N050.04.56.128 E014.17.53.379 ; LK
15SAD N049.12.39.560 E007.04.42.049 ; ED
15SAV N048.40.56.431 E007.06.42.609 ; LF
15STR N048.40.09.501 E007.51.12.999 ; LF
15TIS N046.05.01.809 E003.45.52.898 ; LF
16CVN N049.06.25.621 E002.03.35.629 ; LF
16DMN N048.21.42.040 E011.45.13.978 ; ED
16DMS N048.20.25.299 E011.44.17.530 ; ED
17BLM N047.39.04.921 E007.05.28.600 ; LF
17GVA N046.03.27.748 E005.50.41.819 ; LS
17MLY N048.45.57.380 E005.59.13.700 ; LF
17POY N048.42.17.758 E002.22.13.169 ; LF
18KOK N051.13.47.488 E003.04.36.940 ; EB
18MOD N052.10.20.038 E008.10.16.021 ; ED
18NM  N052.09.34.459 E007.14.56.299 ; ED
18NM  N051.25.51.189 E013.37.41.098 ; ED
18RKN N052.06.56.419 E007.14.59.179 ; ED
19KLF N052.13.57.190 E013.10.35.900 ; ED
1BBL  N051.10.32.829 E005.28.58.450 ; EB
1DMS  N048.20.44.289 E011.48.07.261 ; ED
1SB15 N047.47.03.800 E007.14.25.198 ; LF
1SB33 N047.17.25.400 E007.36.04.500 ; LF
1VKL  N051.38.49.588 E005.41.02.619 ; EH
1WUN  N052.27.15.379 E009.24.07.761 ; ED
20BBE N050.43.46.498 E004.44.19.168 ; EB
20BO  N049.08.44.620 E016.45.29.458 ; LK
20SIO N046.01.42.488 E006.53.31.768 ; LS
20TNO N048.45.49.028 E002.09.27.169 ; LF
216NM N052.18.40.078 E010.19.25.341 ; ED
21BRY N048.17.26.001 E003.47.41.459 ; LF
21KLF N052.13.53.979 E013.07.08.828 ; ED
21KLO N047.27.16.851 E008.35.49.228 ; LS
21NM  N051.25.54.141 E013.35.48.379 ; ED
21NM  N049.52.18.328 E011.22.16.381 ; ED
21SAV N048.46.18.998 E007.29.09.751 ; LF
224X  N050.42.29.818 E004.34.36.418 ; EB
22BLM N047.38.07.260 E007.26.43.490 ; LF
23ILS N052.25.13.969 E005.27.22.179 ; EH
24FAF N052.10.29.398 E015.55.24.700 ; EP
24KLO N047.29.38.169 E008.31.21.129 ; LS
25BBL N051.11.41.348 E005.30.50.659 ; EB
25BUB N050.53.17.401 E004.28.34.298 ; EB
25DUS N051.15.22.618 E006.42.11.228 ; ED
25IBE N046.56.18.560 E007.28.03.118 ; LS
25NEU N048.44.23.499 E011.50.20.140 ; ED
25PB  N048.44.50.960 E007.09.23.299 ; LF
26DUS N051.15.31.950 E006.41.47.939 ; ED
26SAD N049.13.03.860 E007.10.53.990 ; ED
27BBI N052.21.30.340 E013.31.20.499 ; ED
27BSE N052.19.48.608 E013.24.16.441 ; ED
27BSW N052.22.24.848 E013.35.14.089 ; ED
27LOR N049.02.50.319 E003.03.57.409 ; LF
27NAY N048.32.24.100 E005.56.07.270 ; LF
28BLM N047.38.09.740 E007.25.50.390 ; LF
28KLO N047.24.57.758 E008.34.41.109 ; LS
28STG N048.41.00.769 E009.11.19.870 ; ED
28WUN N052.28.00.789 E009.30.11.120 ; ED
29ALD N048.00.39.211 E010.17.42.561 ; ED
2NM   N048.48.58.679 E002.31.10.970 ; LF
2RMS  N049.25.40.821 E007.32.08.289 ; ED
2SB33 N047.25.38.301 E007.30.25.700 ; LF
2VKL  N051.40.17.630 E005.45.14.619 ; EH
30ANT N051.10.09.699 E004.32.40.498 ; EB
30BI  N049.25.09.278 E002.11.31.491 ; LF
30KOK N051.07.02.409 E002.34.51.330 ; EB
30LCH N048.13.37.059 E010.54.35.971 ; ED
30RMS N049.26.17.941 E007.39.43.430 ; ED
30ROS N051.55.32.008 E004.21.44.650 ; EH
30VKL N051.40.57.399 E005.46.28.581 ; EH
31AUG N048.26.42.291 E011.00.30.859 ; ED
31FHH N049.59.08.998 E007.18.07.120 ; ED
31OBI N048.07.11.100 E011.20.07.699 ; ED
32BBI N052.21.40.550 E013.32.06.511 ; ED
32CLM N048.28.40.069 E002.26.26.638 ; LF
32FHH N049.53.48.908 E007.12.49.388 ; ED
33ALD N047.57.30.160 E010.09.46.648 ; ED
33LSE N046.17.27.589 E004.59.28.431 ; LF
33VS  N050.19.56.719 E003.26.02.590 ; LF
34IBE N046.57.00.010 E007.27.12.650 ; LS
35KBD N048.43.58.400 E008.02.14.521 ; ED
35LLD N051.25.02.290 E012.19.27.580 ; ED
35LRD N048.18.50.108 E007.46.59.419 ; ED
35NM  N052.05.00.239 E012.18.10.238 ; ED
35OBI N048.07.28.801 E011.20.31.880 ; ED
35POY N048.40.33.189 E002.21.20.728 ; LF
35RSV N051.59.37.730 E004.31.56.751 ; EH
35TNO N048.46.07.939 E002.11.40.311 ; LF
36DMN N048.21.28.011 E011.42.18.298 ; ED
36DMS N048.20.10.741 E011.41.18.538 ; ED
36NM  N052.04.13.789 E012.18.09.968 ; ED
37BNO N049.09.42.418 E016.36.01.270 ; LK
38KLO N047.24.02.228 E008.35.24.698 ; LS
38WUN N052.30.30.520 E009.29.03.519 ; ED
3LXI  N047.45.54.230 E006.25.34.341 ; LF
3PB   N048.47.31.660 E007.15.53.549 ; LF
3SB33 N047.38.21.400 E007.21.37.299 ; LF
40BI  N049.24.35.719 E002.12.47.638 ; LF
40BO  N049.08.28.780 E016.48.30.711 ; LK
40BSE N052.19.20.290 E013.22.17.950 ; ED
40BSW N052.22.52.888 E013.37.12.889 ; ED
40BVT N049.29.35.620 E002.01.24.970 ; LF
40CVL N048.45.39.949 E004.18.11.451 ; LF
40CVN N049.07.48.169 E002.06.35.481 ; LF
40GIX N050.57.39.398 E005.56.23.330 ; ED
40HAD N052.27.50.140 E009.48.15.991 ; ED
40ICF N047.02.46.399 E006.43.01.059 ; LS
40IMI N051.10.56.470 E002.45.29.519 ; EB
40LND N051.26.11.918 E012.19.55.729 ; ED
40MCY N049.09.16.790 E005.38.38.428 ; LF
40SAD N049.12.27.021 E007.00.54.100 ; ED
40SPA N049.55.23.959 E006.38.27.610 ; ED
41DUS N051.14.37.561 E006.39.54.511 ; ED
41POY N048.42.39.031 E002.17.26.840 ; LF
41TNO N048.46.16.600 E002.12.33.130 ; LF
42IFN N050.04.06.848 E008.37.51.499 ; ED
42LSE N046.15.42.890 E005.45.59.788 ; LF
43CVN N049.08.34.371 E002.06.08.758 ; LF
44BUB N050.53.22.408 E004.25.26.518 ; EB
44OEJ N047.17.09.290 E011.30.11.649 ; LO
44POY N048.42.19.090 E002.17.08.131 ; LF
45ANT N051.09.31.600 E004.34.50.001 ; EB
45ERF N050.59.17.811 E011.20.22.110 ; ED
45ISW N046.18.02.948 E006.12.04.208 ; LS
45MHD N051.11.22.599 E006.35.13.030 ; ED
46ERF N050.59.37.129 E011.20.14.211 ; ED
46SAD N049.13.12.608 E007.13.53.450 ; ED
47BI  N049.24.12.218 E002.13.40.918 ; LF
47BUB N050.52.32.599 E004.25.18.328 ; EB
48NM  N052.06.40.791 E010.57.16.470 ; ED
49CMB N050.44.54.178 E002.09.59.400 ; LF
49KBD N048.42.46.900 E008.01.06.628 ; ED
49LLD N051.25.07.939 E012.21.42.029 ; ED
4ANT  N051.11.17.199 E004.34.42.520 ; EB
4GIX  N050.57.20.498 E006.08.59.708 ; ED
4PB   N048.44.01.770 E007.06.43.829 ; LF
50ALD N047.56.39.649 E010.07.34.579 ; ED
51BBE N050.49.34.989 E004.50.44.300 ; EB
51NAY N048.39.47.908 E005.59.46.568 ; LF
52MCY N049.08.07.101 E005.38.11.000 ; LF
53HOD N050.17.01.460 E011.43.02.391 ; ED
53LGE N050.42.56.998 E005.34.08.000 ; EB
53LND N051.26.17.610 E012.22.00.141 ; ED
54CVN N049.08.36.398 E002.08.20.799 ; LF
55FFM N050.01.13.659 E008.30.16.671 ; ED
55NAY N048.29.47.489 E005.54.33.159 ; LF
55NM  N051.11.49.138 E006.05.57.501 ; ED
55OBI N048.08.57.170 E011.22.33.031 ; ED
56STG N048.40.14.311 E009.07.16.291 ; ED
59BBL N051.13.25.651 E005.35.31.948 ; EB
59NM  N051.12.31.611 E011.45.23.659 ; ED
59STG N048.40.09.148 E009.06.49.078 ; ED
5AGD  N051.02.55.348 E012.35.30.238 ; ED
5PB   N048.48.31.500 E007.18.30.848 ; LF
60ANT N051.08.53.498 E004.36.59.400 ; EB
60BUB N050.53.05.578 E004.22.57.280 ; EB
60CVL N048.45.17.398 E004.21.09.601 ; LF
60LCH N048.15.48.499 E010.57.39.830 ; ED
